Country,Continent,Population,Area,GDP (Nominal)
China,Asia,"1,425,671,352","9,388,211","$17,963,200,000,000"
India,Asia,"1,428,627,663","2,973,190","$3,385,090,000,000"
Indonesia,Asia,"277,534,122","1,811,570","$1,319,100,000,000"
Pakistan,Asia,"240,485,658","770,880","$376,533,000,000"
Bangladesh,Asia,"172,954,319","130,170","$460,201,000,000"
Japan,Asia,"123,294,513","364,555","$4,231,140,000,000"
Philippines,Asia,"117,337,368","298,170","$404,284,000,000"
Vietnam,Asia,"98,858,950","310,070","$408,802,000,000"
Iran,Asia,"89,172,767","1,628,550","$388,544,000,000"
Turkey,Asia,"85,816,199","769,630","$905,988,000,000"
Thailand,Asia,"71,801,279","510,890","$495,341,000,000"
Myanmar,Asia,"54,577,997","653,290","$59,364,362,541"
South Korea,Asia,"51,784,059","97,230","$1,665,250,000,000"
Iraq,Asia,"45,504,560","434,320","$264,182,000,000"
Afghanistan,Asia,"42,239,854","652,860",
Saudi Arabia,Asia,"36,947,025","2,149,690","$1,108,150,000,000"
Uzbekistan,Asia,"35,163,944","425,400","$80,391,853,885"
Malaysia,Asia,"34,308,525","328,550","$406,306,000,000"
Yemen,Asia,"34,449,825","527,970",
Nepal,Asia,"30,896,590","143,350","$40,828,247,302"
North Korea,Asia,"26,160,821","120,410",
Taiwan,Asia,"23,923,276","35,410",
Sri Lanka,Asia,"21,893,579","62,710","$74,403,578,363"
Syria,Asia,"23,227,014","183,630",
Kazakhstan,Asia,"19,606,633","2,699,700","$220,623,000,000"
Cambodia,Asia,"16,944,826","176,520","$29,956,769,529"
Jordan,Asia,"11,337,052","88,780","$47,451,499,859"
Azerbaijan,Asia,"10,412,651","82,658","$78,721,058,824"
Tajikistan,Asia,"10,143,543","139,960","$10,492,123,388"
United Arab Emirates,Asia,"9,516,871","83,600","$507,535,000,000"
Israel,Asia,"9,174,520","21,640","$522,033,000,000"
Hong Kong,Asia,"7,491,609","1,050","$359,839,000,000"
Laos,Asia,"7,633,779","230,800","$15,724,383,783"
Kyrgyzstan,Asia,"6,735,347","191,800","$10,930,644,915"
Turkmenistan,Asia,"6,516,100","469,930",
Singapore,Asia,"6,014,723",700,"$466,789,000,000"
Lebanon,Asia,"5,353,930","10,230",
State of Palestine,Asia,"5,371,230","6,020","$19,111,900,000"
Oman,Asia,"4,644,384","309,500","$114,667,000,000"
Kuwait,Asia,"4,310,108","17,820","$184,558,000,000"
Georgia,Asia,"3,728,282","69,490","$24,605,375,420"
Mongolia,Asia,"3,447,157","1,553,560","$16,810,883,361"
Armenia,Asia,"2,777,970","28,470","$19,502,783,988"
Qatar,Asia,"2,716,391","11,610","$237,296,000,000"
Bahrain,Asia,"1,485,509",760,"$44,390,820,479"
Timor-Leste,Asia,"1,360,596","14,870","$3,163,324,631"
Cyprus,Asia,"1,260,138","9,240","$28,439,052,741"
Bhutan,Asia,"787,424","38,117",
Macao,Asia,"704,149",30,"$21,979,475,561"
Maldives,Asia,"521,021",300,"$6,189,865,408"
Brunei,Asia,"452,524","5,270","$16,681,531,646"
Nigeria,Africa,"223,804,632","910,770","$477,386,000,000"
Ethiopia,Africa,"126,527,060","1,000,000","$126,783,000,000"
Egypt,Africa,"112,716,598","995,450","$476,748,000,000"
DR Congo,Africa,"102,262,808","2,267,050","$58,065,953,573"
Tanzania,Africa,"67,438,106","885,800","$75,709,289,056"
South Africa,Africa,"60,414,495","1,213,090","$405,870,000,000"
Kenya,Africa,"55,100,586","569,140","$113,420,000,000"
Sudan,Africa,"48,109,006","1,765,048","$51,662,241,775"
Uganda,Africa,"48,582,334","199,810","$45,559,202,049"
Algeria,Africa,"45,606,480","2,381,740","$191,913,000,000"
Morocco,Africa,"37,840,044","446,300","$134,182,000,000"
Angola,Africa,"36,684,202","1,246,700","$106,714,000,000"
Ghana,Africa,"34,121,985","227,540","$72,838,798,788"
Mozambique,Africa,"33,897,354","786,380","$17,851,491,428"
Madagascar,Africa,"30,325,732","581,795","$14,954,967,604"
Côte d'Ivoire,Africa,"28,873,034","318,000","$70,018,715,017"
Cameroon,Africa,"28,647,293","472,710","$44,341,646,509"
Niger,Africa,"27,202,843","1,266,700","$13,969,605,583"
Burkina Faso,Africa,"23,251,485","273,600","$18,884,619,613"
Mali,Africa,"23,293,698","1,220,190","$18,827,176,532"
Malawi,Africa,"20,931,751","94,280","$13,164,667,627"
Zambia,Africa,"20,569,737","743,390","$29,784,454,056"
Chad,Africa,"18,278,568","1,259,200","$12,704,149,842"
Senegal,Africa,"17,763,163","192,530","$27,684,430,244"
Somalia,Africa,"18,143,378","627,340",
Zimbabwe,Africa,"16,665,409","386,850","$20,678,055,598"
Guinea,Africa,"14,190,612","245,720","$21,227,749,389"
Rwanda,Africa,"14,094,683","24,670","$13,312,796,765"
Benin,Africa,"13,712,828","112,760","$17,401,746,309"
Tunisia,Africa,"12,458,223","155,360","$46,664,948,952"
Burundi,Africa,"13,238,559","25,680","$3,073,414,678"
South Sudan,Africa,"11,088,796","610,952",
Togo,Africa,"9,053,799","54,390","$8,126,439,481"
Sierra Leone,Africa,"8,791,092","72,180","$3,970,343,852"
Libya,Africa,"6,888,388","1,759,540","$45,752,336,036"
Congo,Africa,"6,106,869","341,500","$14,615,532,210"
Central African Republic,Africa,"5,742,315","622,980","$2,382,618,615"
Liberia,Africa,"5,418,377","96,320","$4,001,047,150"
Mauritania,Africa,"4,862,989","1,030,700","$10,375,460,680"
Eritrea,Africa,"3,748,901","101,000",
Gambia,Africa,"2,773,168","10,120","$2,273,060,863"
Botswana,Africa,"2,675,352","566,730","$20,352,322,157"
Namibia,Africa,"2,604,172","823,290","$12,607,436,976"
Gabon,Africa,"2,436,566","257,670","$21,071,739,228"
Lesotho,Africa,"2,330,318","30,360","$2,553,459,763"
Guinea-Bissau,Africa,"2,150,842","28,120","$1,633,559,092"
Equatorial Guinea,Africa,"1,714,671","28,050","$11,813,908,448"
Mauritius,Africa,"1,300,557","2,030","$12,898,307,089"
Eswatini,Africa,"1,210,822","17,200","$4,854,167,638"
Djibouti,Africa,"1,136,455","23,180",
Réunion,Africa,"981,796","2,500",
Comoros,Africa,"852,075","1,861","$1,242,519,407"
Cabo Verde,Africa,"598,682","4,030","$2,314,816,792"
Western Sahara,Africa,"587,259","266,000",
Mayotte,Africa,"335,995",375,
